variant,block_length_months,replications,metric,ci_2_5,bootstrap_median,ci_97_5
broad,6,2000,participation_ratio,35.79853439199505,36.845016569137556,37.80224470614845
broad,6,2000,entropy_rank,55.932146362195745,56.696274264154724,57.35109479096208
broad,6,2000,top_eigen_share,0.07690540451090745,0.08130284307929014,0.08692659792008847
native,6,2000,participation_ratio,14.337430715502677,14.657333481825773,14.95007462878988
native,6,2000,entropy_rank,18.21625845521504,18.44356528473609,18.64335527893385
native,6,2000,top_eigen_share,0.13880549662787547,0.1459201917756654,0.15355282141360524
broad_deduplicated,6,2000,participation_ratio,37.692222775399976,38.70163763121907,39.58990480604992
broad_deduplicated,6,2000,entropy_rank,57.356434649212495,58.086770374311634,58.701347784724064
broad_deduplicated,6,2000,top_eigen_share,0.07156185716472394,0.07549257655329356,0.0807313539488381
native_deduplicated,6,2000,participation_ratio,14.337430715502677,14.657333481825773,14.95007462878988
native_deduplicated,6,2000,entropy_rank,18.21625845521504,18.44356528473609,18.64335527893385
native_deduplicated,6,2000,top_eigen_share,0.13880549662787547,0.1459201917756654,0.15355282141360524
broad,3,1000,participation_ratio,36.09790280700675,36.90693230005856,37.64396055172004
broad,3,1000,entropy_rank,56.15731185430526,56.76322082975376,57.26509656921496
broad,3,1000,top_eigen_share,0.07778246393542358,0.08121194938238066,0.08562365647312915
native,3,1000,participation_ratio,14.413144033393136,14.673628694029674,14.929476001831809
native,3,1000,entropy_rank,18.274210659500604,18.453851454613574,18.62924203227889
native,3,1000,top_eigen_share,0.13969895946175026,0.14590729480927514,0.1519864412392738
broad_deduplicated,3,1000,participation_ratio,37.97727076912785,38.763484176582395,39.438751499571694
broad_deduplicated,3,1000,entropy_rank,57.56392735476141,58.142152955265914,58.62873681331862
broad_deduplicated,3,1000,top_eigen_share,0.07228364437754588,0.07539324518033534,0.07955448431095055
native_deduplicated,3,1000,participation_ratio,14.413144033393136,14.673628694029674,14.929476001831809
native_deduplicated,3,1000,entropy_rank,18.274210659500604,18.453851454613574,18.62924203227889
native_deduplicated,3,1000,top_eigen_share,0.13969895946175026,0.14590729480927514,0.1519864412392738
broad,12,1000,participation_ratio,35.328929736493215,36.81500576775504,37.99589080692146
broad,12,1000,entropy_rank,55.54766212666857,56.66419507598816,57.45646023819542
broad,12,1000,top_eigen_share,0.07590830662326022,0.08115081311556355,0.0886597798382031
native,12,1000,participation_ratio,14.20784907055802,14.657334370362946,15.013202296689087
native,12,1000,entropy_rank,18.120217936238834,18.446418956103777,18.69036013184138
native,12,1000,top_eigen_share,0.13706616655692444,0.14614322047583564,0.15621925857802857
broad_deduplicated,12,1000,participation_ratio,37.25206936649378,38.66304581687707,39.76367304300657
broad_deduplicated,12,1000,entropy_rank,56.98939887703391,58.04083094704204,58.79112000578914
broad_deduplicated,12,1000,top_eigen_share,0.07078232423354026,0.07543660340502183,0.08238091153793309
native_deduplicated,12,1000,participation_ratio,14.20784907055802,14.657334370362946,15.013202296689087
native_deduplicated,12,1000,entropy_rank,18.120217936238834,18.446418956103777,18.69036013184138
native_deduplicated,12,1000,top_eigen_share,0.13706616655692444,0.14614322047583564,0.15621925857802857
