comparison,pairs,median_absolute_score_correlation,median_top_jaccard,median_bottom_jaccard
within_group,2285,0.061528924852609634,0.11373993754386902,0.11646035313606262
across_group,3931,0.021020013839006424,0.10577613860368729,0.1089145764708519
within_family,182,0.18347124755382538,0.13854749500751495,0.1448986828327179
across_family,6034,0.02977515012025833,0.10777857154607773,0.11069333553314209
same_formula,5,1.0,1.0,1.0
different_formula,6211,0.030787326395511627,0.10823893547058105,0.11114183813333511
