signal_date,characteristics,matched_securities,ic,spread,turnover_two_legs,net_spread_25bps
2016-06-30,67,2880,0.019147135607333488,0.0024146997992458494,,
2016-08-31,67,2892,0.031114605841748633,0.009907060493523842,0.757548686796498,0.008013188776532596
2016-09-30,67,2865,0.02156904029372373,0.003731390042006174,0.7696295634566137,0.0018073161333646396
2016-10-31,67,2824,-0.009018524497048208,0.0009598828948871943,0.7079433995536664,-0.0008099756039969717
2016-11-30,67,2924,0.07984551124730639,0.021900413104230937,0.6950847408185292,0.020162701252184615
2016-12-30,67,2715,0.039737433758751134,0.001962190066637559,0.8300487150316502,-0.00011293172094156657
2017-01-31,67,2115,0.04498960102204661,0.0119949765080406,1.1518050590401907,0.009115463860440123
2017-02-28,67,2771,-0.0021550835892384305,0.004586266017254861,0.9701759521254106,0.0021608261369413344
2017-03-31,67,2927,0.19113800450290916,0.04475318614013067,1.239486368472769,0.04165447021894875
2017-05-31,67,2936,-0.06405241677301426,-0.01361197475188459,0.7693680538654986,-0.015535394886548336
2017-06-30,67,2945,0.049709898171400514,0.01198009356404177,0.9397513740611779,0.009630715128888825
2017-07-31,67,2979,0.013962543416384131,0.0010330149292640742,0.7627848414331164,-0.0008739471743187169
2017-08-31,67,2977,0.07190802106526754,0.015262827313516865,0.7141833327712388,0.013477368981588769
2017-09-29,67,2952,0.16445089540293473,0.037785421048965706,0.806344361629175,0.03576956014489277
2017-10-31,67,2988,0.10288671615300753,0.01725424934934041,0.9373286581314453,0.014910927704011798
2017-11-30,67,2986,0.07104878712842835,0.021796595234946176,0.688351823831246,0.02007571567536806
2018-01-31,67,2987,0.14114298240879775,0.046738301495834696,0.9907928718284846,0.04426131931626348
2018-02-28,67,2842,0.029207735584490226,0.009950262103847097,0.8050144815493296,0.007937725899973772
2018-03-30,67,1980,-0.006219840174414893,-0.01179878048780526,1.296241862422337,-0.015039385143861102
2018-04-30,67,1965,0.20591773059161628,0.06732647509695507,1.4955092486578632,0.06358770197531041
2018-05-31,67,2963,0.20860832426481077,0.051464607407162216,1.1322698599258465,0.0486339327573476
2018-06-29,67,2950,-0.008353933105557567,-0.0019602565016843855,0.5931717398833757,-0.003443185851392825
2018-07-31,67,2988,0.14352085181771052,0.03411528398865927,0.9506758756232516,0.03173859429960114
2018-08-31,67,2957,0.07029746970928806,0.010609007764879061,0.6783853803161345,0.008913044314088726
2018-10-31,67,2991,-0.05420101905145841,-0.01659069262238721,0.8989536630169569,-0.018838076779929602
2018-11-30,67,2961,-0.06025921042053068,-0.026805250851150327,0.7251829973031977,-0.02861820834440832
2018-12-31,67,1526,0.08976817482109362,0.045355280403187426,1.382360649013263,0.04189937878065427
2019-01-31,67,2830,0.04499688787703968,-0.012899413155087525,1.2816042527467735,-0.01610342378695446
2019-02-28,67,2829,-0.10658461169807515,-0.033102880970545,0.7572899333794505,-0.03499610580399363
2019-04-30,67,2347,0.042659960206080566,0.006089854748641531,1.0626787817600538,0.0034331577942413967
2019-05-31,67,2956,0.22417248558555386,0.051995810098006585,0.9686685416380847,0.049574138743911374
2019-07-31,67,2996,0.07923078980337968,0.015695897167766894,0.9774819143016138,0.01325219238201286
2019-08-30,67,2962,-0.036640024106559914,-0.012024530921538403,0.8106816917084029,-0.01405123515080941
2019-09-30,67,2804,-0.023889703386877185,-0.012069156480044871,0.9367251948407092,-0.014410969467146643
2019-10-31,67,2973,0.04492047858414519,0.008055802651051432,0.7081543728602552,0.006285416718900794
2019-11-29,67,2965,0.017475382760139466,-0.0032802772277152337,0.7351271821860057,-0.005118095183180248
2019-12-31,67,2034,0.12012694507369534,0.03061892064426224,1.1913457225430244,0.02764055633790468
2020-01-31,67,2346,0.28129171968423494,0.09146258826232911,1.2568343691874972,0.08832050233936037
2020-02-28,67,2794,0.12881064772883768,0.06110043544635792,0.9418764375159725,0.058745744352567984
2020-03-31,67,2984,0.04443006650448872,0.00588283021258619,1.0443381903945592,0.0032719847365997924
2020-04-30,67,2752,-0.09940859938184794,-0.04820525439138909,0.8636325439908572,-0.050364335751366236
2020-06-30,67,2997,0.19334296160666464,0.05737410261201072,0.957376182526433,0.05498066215569464
2020-07-31,67,2845,-0.06087436529026672,-0.019956057519752442,0.7222593210907067,-0.02176170582247921
2020-08-31,67,2814,0.02003650175874793,0.007078742695954888,0.7919742237844172,0.005098807136493845
2020-09-30,67,2822,-0.01682201223729759,0.0024720915192063134,0.8397006213519111,0.00037283996582653574
2020-10-30,67,2905,-0.27099211489429786,-0.11644159978429292,0.6879151362445363,-0.11816138762490426
2020-11-30,67,2936,-0.08951035999968268,-0.034458790532702926,0.6434018241027246,-0.036067295092959736
2020-12-31,67,2034,-0.02131326066959892,-0.006851716081359327,1.1915307860793378,-0.009830543046557672
2021-03-31,67,2996,0.07306789788693074,0.014313720974895104,1.4161185308848079,0.010773424647683084
2021-04-30,67,2784,-0.10954689934763202,-0.03114227486667685,0.7740261547022815,-0.033077340253432556
2021-05-31,67,2381,0.09203522777599203,0.008294033818542778,0.9219834880922504,0.005989075098312152
2021-06-30,67,2998,0.060761212680364475,0.011556115512728914,1.3026293823038397,0.008299542056969315
