construction,matched_signals,months,mean_monthly_return,hac_t,p_value,monthly_volatility,annualised_sharpe_zero_cash,positive_signal_means,median_signal_mean,correlation_with_published_composite
original_portfolios,106,420,0.004502181253515237,9.698891347213225,3.047923706487803e-22,0.008700364242426928,1.7925701634296871,101,0.0038778584638961386,1.0
equal_weighted_deciles,95,420,0.004960442682543607,9.3892349939763,6.043761544770528e-21,0.009664721586858762,1.7779588738243781,88,0.00465577181722328,0.9742102511685197
value_weighted_deciles,95,420,0.0027045240387622567,5.533306822744931,3.1424905141196585e-08,0.008958120221627919,1.045838396791763,79,0.0020681559351854997,0.8358024231275406
quintiles,95,420,0.0037969014056251993,8.406009841297557,4.241955652752563e-17,0.008121728920210469,1.6194645771807183,92,0.0038326110020480246,0.9680101775628831
market_cap_above_nyse20,106,420,0.0026572727915144924,5.756993932608816,8.562498713050732e-09,0.008888863467634074,1.0355725456313087,91,0.002311675798424149,0.8489378622873038
nyse_only,106,420,0.0024875165832338327,6.552829238602165,5.6457063709950614e-11,0.007742764180399575,1.1129113599347118,90,0.0020871401511444445,0.8512770870802662
price_above_five,106,420,0.0030078017609315236,6.574513558393997,4.881248223094606e-11,0.008596676614035148,1.212018481775412,94,0.00256685309461022,0.8607083365912934
