pair_number,left_group,right_group,same_group,same_family,same_formula,mean_score_correlation,median_date_score_correlation,mean_top_jaccard,mean_bottom_jaccard,complete_correlation_dates
4126,Price,Accounting,False,False,False,-0.16347371,-0.15845951,0.042904384,0.0,92
4127,Price,Accounting,False,False,False,-0.066909075,-0.06641532,0.12140553,0.082944706,103
4128,Price,Accounting,False,False,False,0.14287639,0.15869813,0.12442193,0.15709765,103
4129,Price,Accounting,False,False,False,-0.0013463298,0.011183602,0.09595722,0.122177154,103
4130,Price,Price,True,False,False,-0.006597707,-0.017921306,0.058966108,0.14465202,102
4131,Price,Trading,False,False,False,0.18041664,0.26212978,0.18615709,0.16002654,103
4132,Price,Trading,False,False,False,-0.037146375,-0.017226495,0.066773064,0.13207006,103
4133,Price,Accounting,False,False,False,0.052397616,0.044077367,0.12043884,0.13440306,91
4134,Price,Trading,False,False,False,-0.2046183,-0.265456,0.033659656,0.0,103
4135,Price,Trading,False,False,False,-0.09267375,-0.02971835,0.019173156,0.0,103
4136,Price,Trading,False,False,False,-0.1860304,-0.25031924,0.031584144,0.0,103
4137,Price,Trading,False,False,False,-0.20701708,-0.20506808,0.04190565,0.07897443,103
4138,Price,Event,False,False,False,0.060985908,0.025114385,0.0,0.037875462,100
4139,Price,Price,True,False,False,-0.059529234,-0.07322842,0.08909317,0.10645219,103
4140,Price,Price,True,False,False,-0.023683997,-0.03881582,0.055402283,0.13952522,103
4141,Price,Accounting,False,False,False,0.096301384,0.08756762,0.11099166,0.15401113,103
4142,Price,Accounting,False,False,False,0.12110522,0.115077816,0.096325636,0.15309636,91
4143,Price,Accounting,False,False,False,0.09359956,0.09585179,0.10665451,0.14963125,91
4144,Price,Accounting,False,False,False,0.14327806,0.13371971,0.17975031,0.13266316,103
4145,Price,Price,True,False,False,0.055528425,0.06055712,0.07961521,0.1485174,103
4146,Price,Price,True,False,False,0.44562653,0.5176994,0.31098115,0.24777281,103
4147,Price,Accounting,False,False,False,-0.16733661,-0.1581107,0.043255243,0.09386609,68
4148,Price,Price,True,False,False,-0.035048664,-0.058385614,0.054221082,0.13439454,103
4149,Price,Price,True,False,False,-0.122778505,-0.09970887,0.035462778,0.10911977,103
4150,Price,Price,True,False,False,-0.017419504,-0.030512592,0.056203697,0.14434652,103
4151,Price,Price,True,False,False,0.14120343,0.12126105,0.10989814,0.16826415,103
4152,Price,Price,True,False,False,0.14343627,0.15600997,0.11109199,0.14252362,103
4153,Price,Price,True,False,False,0.036637556,-0.00090971804,0.09624377,0.12190545,103
4154,Price,Price,True,False,False,-0.009220459,-0.007446681,0.06319488,0.13965952,103
4155,Price,Price,True,False,False,-0.021255773,-0.02816692,0.06794814,0.12506846,103
4156,Price,Price,True,False,False,0.00672903,0.00030522043,0.08876471,0.11114184,103
4157,Price,Price,True,False,False,0.0029039348,-0.004487251,0.06428474,0.13958512,103
4158,Price,Price,True,False,False,0.022444401,0.0067768567,0.13435525,0.09734733,103
4159,Price,Price,True,False,False,0.03551643,0.0415546,0.055607084,0.18454352,103
4160,Price,Accounting,False,False,False,-0.0018537914,-0.0030104218,0.0989041,0.12401387,103
4161,Price,Accounting,False,False,False,0.078254804,0.07593875,0.15059118,0.06937092,91
4162,Price,Accounting,False,False,False,0.002109044,0.0037624403,0.13518721,0.10783524,103
4163,Price,Accounting,False,False,False,-0.044021886,-0.056719687,0.070497006,0.06596881,102
4164,Price,Accounting,False,False,False,0.12843467,0.123259634,0.13928811,0.15779948,103
4165,Price,Accounting,False,False,False,0.06663649,0.06409749,0.12737691,0.1418764,103
4166,Price,Accounting,False,False,False,-0.05146589,-0.0645885,0.1110794,0.08234004,103
4167,Price,Accounting,False,False,False,-0.003184532,-0.0028387995,0.13365072,0.084077105,103
4168,Price,Accounting,False,False,False,0.0019257792,-0.03087119,0.10882057,0.11883801,103
4169,Price,Accounting,False,False,False,-0.0041354354,0.005257903,0.10182969,0.11683104,103
4170,Price,Accounting,False,False,False,-0.007348013,-0.0037754504,0.10066554,0.11759387,103
4171,Price,Price,True,False,False,-0.2034575,-0.21257234,0.059260633,0.075889654,103
4172,Price,Price,True,False,False,0.09850599,0.04012171,0.13628486,0.15747285,103
4173,Price,Price,True,False,False,0.024167966,0.008321669,0.084723994,0.17579457,103
4174,Price,Price,True,False,False,0.02771023,0.004931595,0.11837846,0.12456773,103
4175,Price,Accounting,False,False,False,-0.12142996,-0.1027155,0.040417004,0.1098721,91
4176,Price,Accounting,False,False,False,-0.24185096,-0.24527237,0.056207985,0.06067251,103
4177,Price,Event,False,False,False,0.012597266,0.008753094,0.0,0.011179704,99
4178,Price,Accounting,False,False,False,-0.23746735,-0.25808078,0.050143644,0.014685737,103
4179,Price,Price,True,False,False,0.5427415,0.6546537,0.3792697,0.29739216,103
4180,Price,Price,True,False,False,-0.03504868,-0.058385614,0.054221082,0.13439454,103
4181,Price,Price,True,False,False,0.11773818,0.120728165,0.14679198,0.13907827,103
4182,Price,Price,True,False,False,0.05279595,0.047870684,0.12600458,0.13140933,103
4183,Price,Accounting,False,False,False,0.040218376,0.035796516,0.1148066,0.137454,103
