variant,characteristics,construction,date_matrices,negative_eigenvalues_before_repair,aggregate_negative_magnitude_before_repair,minimum_eigenvalue_before_repair,participation_ratio_after_repair,entropy_rank_after_repair,top_eigen_share_after_repair,minimum_eigenvalue_after_repair
broad,112,pairwise_time_mean,121,1,0.0009811778442070332,-0.000981177844203207,37.04838591545997,56.9019753366279,0.081036828248965,-1.3010702512620508e-15
broad,112,pairwise_time_median,121,2,0.02646603181274136,-0.019667785227747116,36.33692867541152,55.68843167146001,0.08108412515847305,-1.2826580142736332e-15
broad,112,date_matrix_psd_average,103,0,1.0155450792658628e-15,-1.001930874940685e-15,38.10255828622591,58.10353159713605,0.07876420829229092,-1.001930874940685e-15
broad_deduplicated,106,pairwise_time_mean,121,1,0.0007279140034370662,-0.0007279140034370662,38.91212110036439,58.29069618923693,0.07520139912408315,-3.7933523519861536e-17
broad_deduplicated,106,pairwise_time_median,121,2,0.02383052069616315,-0.0184916169748338,38.21007172910022,57.080722657090746,0.07513098094424689,-6.665888444994626e-16
broad_deduplicated,106,date_matrix_psd_average,103,0,-0.0,0.013346570544396084,39.96284650965539,59.459444049701276,0.07324916557573533,0.013346570544396084
native,28,pairwise_time_mean,121,0,-0.0,0.020231716055913788,14.704446693178253,18.476291043707523,0.14546430335177024,0.0202317160559139
native,28,pairwise_time_median,121,0,-0.0,0.0026503007897857706,14.497222218128654,18.175994453515774,0.14722788186087882,0.0026503007897850208
native,28,date_matrix_psd_average,103,0,-0.0,0.020441479637763126,14.70619489445878,18.47864763734722,0.14544854756747727,0.020441479637763126
