variant,characteristics,period_start,period_end,median_absolute_return_correlation,p90_absolute_return_correlation,p95_absolute_return_correlation,pairs_abs_correlation_ge_070,participation_ratio,entropy_rank,top_eigen_share,minimum_eigenvalue
broad,112,1990-01-31,2024-12-31,0.16423774063377855,0.5516727114729889,0.6551361441124119,213,9.70231011937412,25.198289868068763,0.2700249887356427,0.0016194386349177338
broad_deduplicated,106,1990-01-31,2024-12-31,0.16193219594353594,0.5455373203419641,0.6524119521343766,184,9.80336028308246,24.944765985817014,0.2680391794535915,0.0018126611734219616
native_mapping,28,1990-01-31,2024-12-31,0.2781045320047439,0.657272355086453,0.7711700378138916,32,5.182109757542981,9.054544005232017,0.37806757605767677,0.01122517806524167
