population,variant,allocation,dates,signals,groups,mean_turnover_two_legs,mean_top_replacement,mean_bottom_replacement,ic_n,ic_mean,ic_se,ic_t,ic_p,spread_n,spread_mean,spread_se,spread_t,spread_p,spread_winsorised_n,spread_winsorised_mean,spread_winsorised_se,spread_winsorised_t,spread_winsorised_p,top_quintile_return_n,top_quintile_return_mean,top_quintile_return_se,top_quintile_return_t,top_quintile_return_p,bottom_quintile_return_n,bottom_quintile_return_mean,bottom_quintile_return_se,bottom_quintile_return_t,bottom_quintile_return_p,short_leg_contribution_n,short_leg_contribution_mean,short_leg_contribution_se,short_leg_contribution_t,short_leg_contribution_p,net_spread_10bps_n,net_spread_10bps_mean,net_spread_10bps_se,net_spread_10bps_t,net_spread_10bps_p,net_spread_25bps_n,net_spread_25bps_mean,net_spread_25bps_se,net_spread_25bps_t,net_spread_25bps_p,net_spread_50bps_n,net_spread_50bps_mean,net_spread_50bps_se,net_spread_50bps_t,net_spread_50bps_p,net_spread_100bps_n,net_spread_100bps_mean,net_spread_100bps_se,net_spread_100bps_t,net_spread_100bps_p
gbp_fixed,broad,equal_group,103,112,5,0.8134304772290746,0.37167960970147973,0.3855825732132355,103,0.026533523826460504,0.008124894709446762,3.265706790712026,0.0010919124699307026,103,0.004175760542679876,0.002809737223204845,1.4861747597581085,0.13723290190376214,103,0.004639676431637401,0.002723914306622851,1.70331218583368,0.08850966133359714,103,0.01687630458937179,0.003326558837579178,5.073201892215172,3.9117708533488416e-07,103,0.012700544046691915,0.004458073397947631,2.848886259373585,0.004387256187888493,103,-0.012700544046691915,0.004458073397947631,-2.848886259373585,0.004387256187888493,102,0.003668072350632973,0.0028184114719368237,1.3014680032196502,0.1930983098532324,102,0.0024479266347893604,0.0028131279499320045,0.8701796286402574,0.38420224682683546,102,0.00041435044171667394,0.0028055499344155715,0.14768956226152072,0.882587769407041,102,-0.003652801944428701,0.0027950401138021,-1.3068871270902032,0.1912510486728366
gbp_fixed,broad,equal_signal,103,112,5,0.8328513193203557,0.38855772001028444,0.38888242984444066,103,0.04773832855103087,0.00962859618110641,4.957973899113641,7.123213006708833e-07,103,0.008151101428578122,0.0031152604441271404,2.616507214972829,0.008883448690411782,103,0.008765394772872824,0.0030480149919655535,2.8757715417995175,0.0040304130881371955,103,0.018172894196084463,0.0031816979130454325,5.711696928100215,1.118551606487384e-08,103,0.010021792767506343,0.004917764715172943,2.0378756097431365,0.0415623743668196,103,-0.010021792767506343,0.004917764715172943,-2.0378756097431365,0.0415623743668196,102,0.0073030037697656616,0.00313979211193493,2.325951371750249,0.0200211450209201,102,0.006053726790785127,0.0031308152095822816,1.933594410892371,0.05316301499807601,102,0.003971598492484237,0.003117003962527465,1.2741717816950777,0.20260254341824746,102,-0.00019265810411754066,0.003093761729062948,-0.06227309049294297,0.9503453575501479
gbp_fixed,broad,inverse_redundancy,67,112,5,0.8045388789609247,0.36322340250533497,0.38570948353154433,67,0.03192302051306206,0.011412658705887145,2.797158956185624,0.0051554162562583924,67,0.004417984458130765,0.004023205310668467,1.0981255285221088,0.27214967937758106,67,0.00497713408900799,0.0039204782923615514,1.269522164860642,0.2042548903447151,67,0.01805576970903932,0.00430193734257844,4.197125218522426,2.7032448633169275e-05,67,0.013637785250908554,0.006068303365994498,2.2473802689779565,0.024615734899611903,67,-0.013637785250908554,0.006068303365994498,-2.2473802689779565,0.024615734899611903,66,0.003801599417465923,0.004112590594275478,0.9243807109702485,0.3552881339135012,66,0.002594791099024535,0.004106897686845546,0.6318129393229565,0.5275091175255122,66,0.0005834439016222225,0.004098618009574462,0.14235137313584353,0.8868024697561487,66,-0.003439250493182404,0.004086621480504032,-0.8415877295193527,0.40001875998284275
gbp_fixed,broad,trailing_positive_evidence,67,112,5,0.8823670749513077,0.40561563873392836,0.42561361291482525,67,0.043655029462504436,0.011692515294099,3.7335875442075617,0.00018877153756353116,67,0.004261760437791908,0.0039369835164216925,1.0824938484033593,0.27903314736381746,67,0.005121389454610085,0.0038401807617188958,1.3336323919079556,0.18232436177016587,67,0.0170992052965407,0.003894924150802533,4.390125361752546,1.1328533239858953e-05,67,0.012837444858748796,0.006520993228401842,1.9686333675115597,0.048995207980245606,67,-0.012837444858748796,0.006520993228401842,-1.9686333675115597,0.048995207980245606,66,0.003410542100026364,0.003992653494940218,0.8542043792050705,0.39299175719507873,66,0.002086991487599402,0.0039837950828889995,0.5238701901519346,0.6003688297381764,66,-0.0001189261997788689,0.003970333906719144,-0.029953702276175227,0.976103976817076,66,-0.004530761574535409,0.003948354644709957,-1.1475062354405694,0.25117245754576145
gbp_fixed,broad_deduplicated,equal_group,103,106,5,0.8360097348779718,0.38289701402141596,0.3977679174382992,103,0.027422199658942693,0.008407966741656827,3.2614543446135262,0.0011084228042491568,103,0.004308079203740295,0.002798210710078256,1.539583558959294,0.12366189559440191,103,0.004714294726794704,0.0027285274122102157,1.727779866054539,0.08402769840992408,103,0.017154662092670355,0.0034288784334220905,5.002995126762092,5.644636836712188e-07,103,0.01284658288893006,0.00443912087109192,2.893947531951321,0.003804317256192952,103,-0.01284658288893006,0.00443912087109192,-2.893947531951321,0.003804317256192952,102,0.0037843700458868716,0.0028081645111154535,1.3476311772003884,0.17777703777283493,102,0.002530355443569914,0.00280272721694448,0.9028190215130875,0.3666219540740717,102,0.0004403311063749842,0.0027948484739124617,0.15755097655028577,0.8748106360143377,102,-0.0037397175680148748,0.0027835710382472065,-1.343496363710461,0.17911130269060938
gbp_fixed,broad_deduplicated,equal_signal,103,106,5,0.8546931447988332,0.4002933399205279,0.40003115322850546,103,0.049138248399426335,0.009169266675844138,5.359016171803356,8.367636565885766e-08,103,0.009087185948563071,0.003032331147863994,2.9967656912946925,0.002728603477050022,103,0.009609366928884878,0.0029518300547516844,3.2553930106566527,0.0011323555136624095,103,0.019033802472436613,0.0032499621547486582,5.8566228054765235,4.723743221802608e-09,103,0.009946616523873542,0.004865830569874491,2.0441765041009443,0.0409361134617147,103,-0.009946616523873542,0.004865830569874491,-2.0441765041009443,0.0409361134617147,102,0.008320014025692614,0.003053427488192524,2.7248113989494622,0.006433822729106875,102,0.0070379743084943635,0.003043447322112771,2.3125007807293274,0.020750102341563527,102,0.0049012414464972825,0.003027956362357927,1.6186631707864485,0.10551975515896735,102,0.0006277757225031143,0.0030013364313130394,0.20916539577286639,0.8343191250880573
gbp_fixed,broad_deduplicated,inverse_redundancy,67,106,5,0.8270812639328415,0.3745809864618758,0.39778726191066727,67,0.033068398403705325,0.011552529482357495,2.862437914935071,0.004203956139816654,67,0.004771388713919047,0.004110065186340488,1.160903415784358,0.24568117960485747,67,0.005510003333797975,0.00399662912377793,1.3786626587431468,0.167998787692074,67,0.018084263386756092,0.004387761370183789,4.1215239073036924,3.76374403393335e-05,67,0.013312874672837042,0.006043659419159276,2.2027837357335693,0.027609995042894155,67,-0.013312874672837042,0.006043659419159276,-2.2027837357335693,0.027609995042894155,66,0.0040831122654646414,0.0041930913810764615,0.9737713525376148,0.3301700801488844,66,0.002842490369565378,0.004186668292759179,0.6789385188412108,0.4971768182209636,66,0.0007747872097332742,0.004177144987061995,0.18548247957230296,0.85285062110862,66,-0.003360619109930936,0.004162564801843431,-0.8073433735956865,0.4194686815263461
gbp_fixed,broad_deduplicated,trailing_positive_evidence,67,106,5,0.9167972577888746,0.4240164922776782,0.4430039514689313,67,0.04453162453746648,0.011518752505376076,3.866011056030808,0.00011062992486055983,67,0.004807041165996059,0.0038969676678031148,1.2335337564414515,0.21737669055506026,67,0.005773126290349158,0.003790396624626914,1.523092927225631,0.12773545810196102,67,0.017356827566419673,0.0039140332590866175,4.434512028257542,9.228106786549017e-06,67,0.012549786400423615,0.006502035002199219,1.9301320888273952,0.05359047339389421,67,-0.012549786400423615,0.006502035002199219,-1.9301320888273952,0.05359047339389421,66,0.003911808168432196,0.00395142648066195,0.989973668389468,0.3221869895724919,66,0.0025366122817488835,0.003942010180751592,0.6434819205021047,0.5199114423834554,66,0.0002446191372766944,0.003927604338325529,0.06228202135579263,0.9503382455578567,66,-0.004339367151667679,0.0039036842761824377,-1.1116081231628987,0.26630667837319
gbp_fixed,native,equal_group,103,28,3,0.883723963166944,0.3932068072239354,0.43615958337317495,103,0.043347925474202166,0.010148241344432048,4.271471677009881,1.941871934894021e-05,103,0.0038132405118965983,0.003434319206711687,1.1103337466256444,0.2668552362550666,103,0.005100403304363767,0.0033236083194200503,1.534598187927799,0.12488255805529325,103,0.01630530319106679,0.0029209696940705808,5.58215418125211,2.3755763477771096e-08,103,0.012492062679170192,0.0051132556654630784,2.443074138370677,0.014562745327292202,103,-0.012492062679170192,0.0051132556654630784,-2.443074138370677,0.014562745327292202,102,0.002882581392461233,0.0034654839108333177,0.8317976555741912,0.40552316744602346,102,0.0015569954477108157,0.0034625373818366707,0.44966892079730325,0.6529491843142965,102,-0.0006523144602065447,0.0034584755250794416,-0.18861329376953187,0.8503959129081353,102,-0.005070934276041265,0.0034535479029186456,-1.468326028359341,0.14201568403339665
gbp_fixed,native,equal_signal,103,28,3,0.9384311884406741,0.41898717039733696,0.46681388100196614,103,0.038241428526140465,0.011171655710120496,3.4230761776427854,0.0006191672281724167,103,0.0015233127753730728,0.003748306652672946,0.40640025390846474,0.6844485331621291,103,0.002978776015648858,0.0036414303623021733,0.8180236114046201,0.4133437051218175,103,0.015453982593339119,0.0028577284636773443,5.407785515581431,6.380877287844655e-08,103,0.013930669817966045,0.00535079525151162,2.603476523238406,0.009228358770221382,103,-0.013930669817966045,0.00535079525151162,-2.603476523238406,0.009228358770221382,102,0.0005950686299016222,0.003782934477725647,0.1573034461488706,0.8750057044384493,102,-0.0008125781527593888,0.00377988102289985,-0.21497453169464972,0.8297871751038347,102,-0.0031586561238610734,0.0037754622439130636,-0.8366276550516623,0.4028018956744651,102,-0.007850812066064443,0.0037691482622246412,-2.0829141015086274,0.03725905400867749
