period,composite,n,mean,se,t,p,monthly_volatility,annualised_sharpe_zero_cash,positive_month_fraction
1990-2024,equal_signal,420,0.00448144895758062,0.000470643589414361,9.521958990575119,1.6994470855546625e-21,0.008799646677317361,1.764183852077694,0.7285714285714285
1990-2024,equal_signal_deduplicated,420,0.004502181253515237,0.0004641954520718334,9.698891347213225,3.047923706487803e-22,0.008700364242426928,1.7925701634296871,0.7309523809523809
1990-2024,equal_group,420,0.0037021688524616556,0.0005047474258013211,7.334695856218006,2.2222556555680566e-13,0.009582900000431846,1.3382889418388142,0.6928571428571428
2016-2024,equal_signal,108,0.002180187217189546,0.0006367759708718382,3.4237900249353865,0.0006175431654892246,0.007243811227483067,1.042598961126317,0.6388888888888888
2016-2024,equal_signal_deduplicated,108,0.0021608548928825793,0.0006158273658587167,3.5088646797458547,0.0004500238093302486,0.007034765654808017,1.0640611630604695,0.6388888888888888
2016-2024,equal_group,108,0.0009528984850264581,0.0006735354674289062,1.414771056769983,0.15713563282472917,0.007569649860474935,0.4360752798195299,0.6111111111111112
